"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"147","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.33340000000000003","0"
"149","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.13340000000000002","-0.333"
"148","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","0.1336","-1"
"150","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.333","-1"
"151","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","5.999999999999894E-4","-0.666"
"152","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.13340000000000002","-0.333"
"153","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","-0.067","-0.667"
"154","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.467","0"
"156","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.46620000000000006","0.333"
"155","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.533","-0.334"
"157","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.333","-0.2664","-0.333"
"159","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.667","-0.5338","-0.667"
"158","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.33280000000000004","-0.334"
"161","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.7336","-1.667"
"160","5","4","10","5","4","2","2","2","2","0","0.5","true","1","1.2","0.33299999999999996"
"146","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.533","0"
"162","5","4","6","5","4","2","2","2","2","0","0.5","true","-1","-0.8664000000000001","-1.333"
"163","5","4","10","5","4","2","2","2","2","0","0.5","true","0","-0.06680000000000001","-1"
"164","5","4","10","5","4","2","2","2","2","0","0.5","true","0.667","0.7338","-0.33299999999999996"
"165","5","4","11","5","4","2","2","2","2","0","0.5","true","1","1","0.667"
"166","5","4","9","5","4","2","2","2","2","0","0.5","true","0.667","0.40040000000000003","0"
"168","5","4","8","5","4","2","2","2","2","0","0.5","true","1","0.8668","0.33299999999999996"
"169","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.333","-0.667"
"172","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0.13319999999999999","-0.667"
"171","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.5332","0"
"170","5","4","16","5","4","2","2","2","2","0","0.5","true","1","1.1334","0.667"
"174","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.667","-0.9336","-1.667"
"173","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0","-0.667"
"175","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.1998","-1"
"176","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.133","-1"
"177","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0.2","0"
"178","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.5336000000000001","-1.334"
"181","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.333","0.06680000000000003","0"
"179","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0.1336","-0.333"
"180","5","4","9","5","4","2","2","2","2","0","0.5","true","0","0.06659999999999999","-1"
"182","5","4","5","5","4","2","2","2","2","0","0.5","true","1","0.7332","0"
"183","5","4","14","5","4","2","2","2","2","0","0.5","true","0.667","0.6004","0.334"
"184","5","4","5","5","4","2","2","2","2","0","0.5","true","1","0.6002000000000001","0"
"186","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0.0668","-0.333"
"185","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.667","-0.267","-0.667"
"187","5","4","9","5","4","2","2","2","2","0","0.5","true","0.667","0.7338","-0.33299999999999996"
"188","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","-0.1336","-0.334"
"189","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0.4","-0.333"
