[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
5062;5;8;0.8;18;0.786;0.9858;0.857;[agree_agent crit_agent talk_agent crit_agent agree_agent f g h i j];TRUE;[4.29 3.25];[3.57];[0];[0.61 0.24];[0]
3664;5;8;0.8;17;0.786;0.986;0.643;[neuro_agent crit_agent neuro_agent crit_agent know_agent f g h i j];TRUE;[0];[0];[2.67 3.84];[0.81 0.52];[0.72]
3840;5;8;0.8;24;0.786;0.986;0.643;[talk_agent neuro_agent agree_agent crit_agent know_agent f g h i j];TRUE;[4.6];[2.15];[4.56];[0.83];[0.66]
5301;5;8;0.8;14;0.786;0.986;0.643;[know_agent crit_agent crit_agent talk_agent crit_agent f g h i j];TRUE;[0];[2.39];[0];[0.26 1.04 1.22];[0.6]
9640;5;8;0.8;23;0.786;0.986;0.643;[agree_agent know_agent agree_agent talk_agent crit_agent f g h i j];TRUE;[4.67 5.06];[4.3];[0];[0.88];[0.74]
5147;5;8;0.8;19;0.786;0.986;0.7150000000000001;[crit_agent crit_agent crit_agent know_agent know_agent f g h i j];TRUE;[0];[0];[0];[0.22 0.39 0.46];[0.65 0.51]
7652;5;8;0.8;18;0.786;0.986;0.7150000000000001;[talk_agent agree_agent crit_agent know_agent talk_agent f g h i j];TRUE;[4.67];[3.55 2.06];[0];[0.9];[0.62]
4964;5;8;0.8;16;0.786;0.986;0.786;[crit_agent know_agent neuro_agent talk_agent neuro_agent f g h i j];TRUE;[0];[2.82];[3.48 2.96];[0.93];[0.56]
5233;5;8;0.8;17;0.786;0.986;0.786;[crit_agent crit_agent neuro_agent know_agent talk_agent f g h i j];TRUE;[0];[3.60];[3.29];[0.44 0.4];[0.67]
994;5;8;0.8;36;0.786;0.986;0.857;[know_agent talk_agent crit_agent talk_agent neuro_agent f g h i j];TRUE;[0];[4.27 2.05];[4.49];[0.96];[0.52]
5068;5;8;0.8;17;0.786;0.986;0.857;[crit_agent talk_agent know_agent crit_agent neuro_agent f g h i j];TRUE;[0];[6.5];[5.64];[0.78 0.29];[0.53]
7564;5;8;0.8;27;0.786;0.986;0.857;[agree_agent crit_agent talk_agent crit_agent agree_agent f g h i j];TRUE;[4.99 3.58];[2.07];[0];[0.26 0.47];[0]
806;5;8;0.8;15;0.786;0.986;0.929;[neuro_agent crit_agent crit_agent crit_agent neuro_agent f g h i j];TRUE;[0];[0];[2.72 4.03];[0.48 0.34 0.67];[0]
2519;5;8;0.8;29;0.786;0.986;0.929;[talk_agent agree_agent neuro_agent agree_agent crit_agent f g h i j];TRUE;[3.58 2.90];[4.8];[2.88];[0.78];[0]
8634;5;8;0.8;16;0.786;0.986;0.929;[neuro_agent talk_agent crit_agent agree_agent crit_agent f g h i j];TRUE;[4];[2.9];[2.63];[0.33 0.83];[0]
8951;5;8;0.8;32;0.786;0.986;0.929;[agree_agent talk_agent agree_agent agree_agent crit_agent f g h i j];TRUE;[5.55 2.54 5.4];[3.58];[0];[0.72];[0]
5335;5;8;0.8;23;0.786;0.9862;0.7150000000000001;[know_agent crit_agent know_agent neuro_agent crit_agent f g h i j];TRUE;[0];[0];[3.04];[0.27 0.99];[0.64 0.58]
8117;5;8;0.8;32;0.786;0.9862;0.786;[know_agent neuro_agent crit_agent neuro_agent talk_agent f g h i j];TRUE;[0];[2.36];[7.07 4.49];[0.46];[0.69]
5509;5;8;0.8;15;0.786;1.0.0;0.857;[talk_agent talk_agent crit_agent crit_agent talk_agent f g h i j];TRUE;[0];[6.2 4.05 3.08];[0];[0.89 0.22];[0]
7843;5;8;0.8;26;0.786;1.0.0;1.0;[neuro_agent crit_agent agree_agent agree_agent crit_agent f g h i j];TRUE;[5.79 2.42];[0];[3.82];[0.27 0.35];[0]
4931;5;8;0.8;16;-0.786;-0.5146000000000001;-0.7150000000000001;[agree_agent talk_agent know_agent neuro_agent talk_agent f g h i j];TRUE;[2.60];[5.02 3.14];[2.93];[0];[0.61]
2977;5;8;0.8;10;-0.786;-0.5288;-0.7150000000000001;[agree_agent know_agent talk_agent agree_agent agree_agent f g h i j];TRUE;[5.2 3.26 2.52];[2.63];[0];[0];[0.55]
8458;5;8;0.8;16;-0.786;-0.5432;-0.786;[neuro_agent agree_agent know_agent talk_agent talk_agent f g h i j];TRUE;[2.33];[2.58 3.13];[3.68];[0];[0.74]
6884;5;8;0.8;13;-0.786;-0.6002000000000001;-0.857;[neuro_agent agree_agent talk_agent know_agent agree_agent f g h i j];TRUE;[3.92 3.87];[4.54];[3.97];[0];[0.72]
5471;5;8;0.8;14;-0.786;-0.6288;-0.786;[know_agent agree_agent neuro_agent agree_agent neuro_agent f g h i j];TRUE;[3.66 6];[0];[2.17 4.02];[0];[0.55]
